device_id,LocationCode,device_ip,sdk_ts,latitude,longitude,accuracy,country,Geohash
NycUQC76S0yjx6LN/CjH9g==,A412,Z2K/xg==,2021-03-02 15:03:18 UTC,28.46667,77.03333,6,IN,ttncby
ktznTo/XSFyfhxCxRXkFig==,A153,asMJuA==,2021-03-03 12:36:40 UTC,28.46667,77.03333,1,IN,ttncby
ktznTo/XSFyfhxCxRXkFig==,A278,asMJuA==,2021-03-03 12:36:40 UTC,28.46667,77.03333,1,IN,ttncby
ktznTo/XSFyfhxCxRXkFig==,A412,asMJuA==,2021-03-03 12:36:40 UTC,28.46667,77.03333,1,IN,ttncby
Gs0WMPYQTTuO5zRV0LVvpQ==,A153,Abv4ww==,2021-03-02 16:52:15 UTC,28.46667,77.03333,6,IN,ttncby
Gs0WMPYQTTuO5zRV0LVvpQ==,A278,Abv4ww==,2021-03-02 16:52:15 UTC,28.46667,77.03333,6,IN,ttncby
Gs0WMPYQTTuO5zRV0LVvpQ==,A412,Abv4ww==,2021-03-02 16:52:15 UTC,28.46667,77.03333,6,IN,ttncby
2G3CaL07TfOBCLQ42JWUJA==,A153,ataXng==,2021-03-03 15:34:20 UTC,28.46667,77.03333,7,IN,ttncby
2G3CaL07TfOBCLQ42JWUJA==,A278,ataXng==,2021-03-03 15:34:20 UTC,28.46667,77.03333,7,IN,ttncby
2G3CaL07TfOBCLQ42JWUJA==,A412,ataXng==,2021-03-03 15:34:20 UTC,28.46667,77.03333,7,IN,ttncby
9maqUSWtRIS14KP2EH2Wag==,A153,asMMew==,2021-03-04 14:02:05 UTC,28.46667,77.03333,7,IN,ttncby
9maqUSWtRIS14KP2EH2Wag==,A278,asMMew==,2021-03-04 14:02:05 UTC,28.46667,77.03333,7,IN,ttncby
9maqUSWtRIS14KP2EH2Wag==,A412,asMMew==,2021-03-04 14:02:05 UTC,28.46667,77.03333,7,IN,ttncby
ikDCyActS4y/ohx10PdR/A==,A153,asRN4w==,2021-03-03 05:47:13 UTC,28.46667,77.03333,9,IN,ttncby
ikDCyActS4y/ohx10PdR/A==,A278,asRN4w==,2021-03-03 05:47:13 UTC,28.46667,77.03333,9,IN,ttncby
ikDCyActS4y/ohx10PdR/A==,A412,asRN4w==,2021-03-03 05:47:13 UTC,28.46667,77.03333,9,IN,ttncby
